name;brand;cuisine;website;lng;lat
McDonald's;McDonald's;burger;;5.433807;43.5180067
Le Mekong;;chinese;https://fr-fr.facebook.com/LeMekongNimes;4.357282;43.83117
La Vagabonde;;crepe;https://la-vagabonde.fr/;-2.5538649;48.5894797
Le Petit Creux;;;;-2.5529298;48.5902084
McDonald's;McDonald's;burger;;2.2850171;48.8469061
Moustache Kebab;;kebab;;2.8922849;42.6972262
McDonald's;McDonald's;burger;;-1.404536;47.701173
McDonald's;McDonald's;burger;;2.4713377;48.8099198
McDonald's;McDonald's;burger;;2.2202309;43.0745903
La Salsita;;mexican;;5.7218722;45.1879753
Sandwichs;;;;-1.6104705;48.1082853
McDonald's;McDonald's;burger;;-1.5818981;47.2609498
McDonald's;McDonald's;burger;;5.7261251;45.1902905
Les Burgers de Papa;Les Burgers de Papa;burger;;5.7237723;45.1887303
Star Food;;burger;;0.1608151;48.0143996
Smash Bing;;;;5.7334893;45.1885639
Tacos Le Brizfaim;;kebab;;5.7275604;45.1873
Le Royal;;;;0.1893563;48.013517
Mezzo Di Pasta;Mezzo di Pasta;pasta;https://www.mezzodipasta.fr/;5.7224195;45.1888344
;;;;3.3640332;43.3123597
Aux P'tits Délices;;pizza;;-0.5855196;44.827623
McDonald's;McDonald's;burger;;2.351487;48.8579329
McDonald's;McDonald's;burger;https://www.mcdonalds.fr/;2.3566884;48.8307218
KFC;KFC;chicken;https://www.kfc.fr/nos-restaurants/kfc-paris-place-ditalie;2.3567939;48.8307708
Subway;Subway;sandwich;https://www.subway.com;3.9170533;43.6035217
McDonald's;McDonald's;burger;;1.1843423;49.2491273
Panda Fast Food;;chinese;;2.3630134;48.8795777
Sushi Shop;Sushi Shop;sushi;https://www.sushishop.fr;-1.5630814;47.2134003
Burger King;Burger King;burger;https://www.burgerking.fr/restaurant/montpellier-odysseum;3.9182448;43.6036739
;;;;2.4140906;48.7718072
Turkiyem;;kebab;;6.3548156;46.9022786
Resto Rapide;;kebab;;4.0071103;49.2359585
Quick;Quick;burger;;4.0132444;49.2274905
Melen;;crepe;;-4.2828597;47.7945703
Le P'tit Guil;;pizza;http://www.ptitguil.com/;-4.2816605;47.7951724
Istanbul Kebab;;kebab;;6.3528562;46.9046099
Mad'eo Pizz;;pizza;;-4.2803343;47.7968445
McDonald's;McDonald's;burger;https://m.restaurants.mcdonalds.fr/mcdonalds-versailles-rive-gauche;2.1284242;48.8006986
Pizza Drive;;pizza;;5.2918349;43.6265541
Le Must;;sandwich,pizza;;5.4143662;43.5288923
McDonald's;McDonald's;burger;https://www.mcdonalds.fr/;5.3973703;43.505764
Cafétéria du Campus;;sandwich;;4.8720769;45.7807294
Pizza Sprint;;pizza;;-1.7257118;47.2141446
McDonald's;McDonald's;burger;;5.1006899;43.6320011
Burger King;Burger King;burger;;5.1004839;43.6313344
McDonald's;McDonald's;burger;https://www.mcdonalds.fr;-1.5582898;47.2138254
Miami Snack;;;;-1.5582675;47.2136882
Domino's Pizza;Domino's Pizza;pizza;http://pizza.dominos.fr/magasin/grenoble-jaures_38000;5.7188685;45.188486
McDonald's;McDonald's;burger;;2.1388368;49.2208926
Pizzeria du Ster;;pizza;;-4.3381378;47.8066563
Basilic and co;;pizza;https://basilic-and-co.com/restaurants/pizzeria-nice/le-port/;7.2873212;43.6981113
Le Zitouna;;;;-1.5539006;47.2131249
Very Food;;;;6.1333024;45.9172339
Gourmet d'Alésia;;asian;;2.3227055;48.829518
Café Plage;;;;0.2790092;45.1602474
McDonald's;McDonald's;burger;;1.7369406;47.3783285
McDonald's;McDonald's;burger;;5.3808424;43.2977
New School Tacos;;;https://newschooltacos.fr/;6.0228709;47.2392413
Cafétéria Etudiante;;;;5.9897426;47.2520356
Kebab Land;;kebab;;1.8969675;47.9243056
Adalya;;kebab;;1.8982391;47.9181928
Kebab de la Poste;;kebab;;2.1878615;48.6982691
Délice Kebab;;turkish;;6.34896;47.3512314
Royal Pizz';;pizza;;-0.6677679;44.7958238
KFC;KFC;chicken;;6.0249921;47.2385543
McDonald's;McDonald's;burger;;-0.8832514;48.8472436
L'Envie Pizza;;pizza;https://www.facebook.com/Lenvie-pizza-454619898216224/;5.7238171;45.1870678
Pizza Dôme;;;;3.3330083;45.9112727
;;;;3.3340383;45.9114697
Popeyes;Popeyes;chicken;;2.3626287;48.8674541
McDonald's;McDonald's;burger;;2.3623607;48.8676055
KFC;KFC;chicken;;2.3622183;48.8676948
Burger King;Burger King;burger;;2.3620618;48.8677893
French Karib';;caribbean;https://www.french-karib.com/restaurant-paris;2.3686351;48.8662257
McDonald's;McDonald's;burger;;2.3747464;48.8654797
KFC;KFC;chicken;;2.3836164;48.8670613
McDonald's;McDonald's;burger;;2.3824226;48.8670436
;;;;2.3728869;48.8176237
Eat Chicken;;chicken;;2.3752474;48.8182874
Chauds Les Sandwichs;;;;2.3542886;48.8460777
Chicken Hut;;;;2.2874658;48.7316197
McDonald's;McDonald's;burger;;2.3247331;48.8445017
McDonald's Toulouse Roosevelt;McDonald's;burger;https://www.mcdonalds.fr/restaurants/mcdonalds-toulouse-roosevelt/49;1.4483886;43.6052543
Pizza Félix;;pizza;https://www.pizzafelix.com/;1.4189733;43.591096
